created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2022-01-15T14:19:47+00:00,2,1.53733,3.91446,,,,Running
2022-01-15T14:20:48+00:00,3,0.11203,2.96776,,,,Running
2022-01-15T14:21:25+00:00,4,0.06507,2.81215,,,,Running
2022-01-15T14:21:56+00:00,5,0.04862,2.73300,,,,Running
2022-01-15T14:23:00+00:00,6,0.04180,2.65287,,,,Running
2022-01-15T14:23:32+00:00,7,0.03051,2.61242,,,,Running
2022-01-15T14:24:04+00:00,8,0.02812,2.61242,,,,Running
2022-01-15T14:26:11+00:00,9,0.02187,2.57169,,,,Running
2022-01-15T14:26:42+00:00,10,0.02589,2.53068,,,,Running
2022-01-15T14:27:16+00:00,11,0.02007,2.53068,,,,Running
2022-01-15T14:27:52+00:00,12,0.02007,2.53068,,,,Running
2022-01-15T14:28:29+00:00,13,0.02812,2.53068,,,,Running
2022-01-15T14:29:32+00:00,14,0.01838,2.53068,,,,Running
2022-01-15T14:30:04+00:00,15,0.02589,2.69306,,,,Running
2022-01-15T14:31:06+00:00,16,0.02007,2.69306,,,,Running
2022-01-15T14:31:39+00:00,17,0.02007,2.69306,,,,Running
2022-01-15T14:32:41+00:00,18,0.02007,2.53068,,,,Running
2022-01-15T14:33:48+00:00,19,0.02007,2.73300,,,,Running
2022-01-15T14:34:20+00:00,20,0.02007,2.57169,,,,Running
2022-01-15T14:35:22+00:00,21,0.02812,2.57169,,,,Running
2022-01-15T14:35:54+00:00,22,0.02007,2.57169,,,,Running
2022-01-15T14:36:29+00:00,23,0.02812,2.57169,,,,Running
2022-01-15T14:37:04+00:00,24,0.02007,2.57169,,,,Running
2022-01-15T14:37:36+00:00,25,0.15373,3.52535,,,,Running
2022-01-15T14:38:08+00:00,26,0.04862,3.08233,,,,Running
2022-01-15T14:38:45+00:00,27,0.03051,2.77269,,,,Running
2022-01-15T14:39:17+00:00,28,0.03869,2.69306,,,,Running
2022-01-15T14:39:49+00:00,29,1.34881,3.45301,,,,Running
2022-01-15T14:40:21+00:00,30,0.20769,3.26966,,,,Running
2022-01-15T14:41:00+00:00,31,0.04180,2.81215,,,,Running
2022-01-15T14:41:32+00:00,32,0.02812,2.89039,,,,Running
2022-01-15T14:42:04+00:00,33,0.02589,2.81215,,,,Running
2022-01-15T14:42:36+00:00,34,0.02381,2.65287,,,,Running
2022-01-15T14:43:08+00:00,35,0.02187,2.61242,,,,Running
2022-01-15T14:43:41+00:00,36,0.03051,2.61242,,,,Running
2022-01-15T14:45:25+00:00,37,0.02007,2.61242,,,,Running
2022-01-15T14:45:57+00:00,38,0.02007,2.61242,,,,Running
2022-01-15T14:46:31+00:00,39,0.03051,2.77269,,,,Running
2022-01-15T14:47:31+00:00,40,0.02007,2.77269,,,,Running
2022-01-15T14:48:33+00:00,41,0.02007,2.57169,,,,Running
2022-01-15T14:49:06+00:00,42,0.02007,2.69306,,,,Running
2022-01-15T14:50:08+00:00,43,0.02007,2.57169,,,,Running
2022-01-15T14:50:46+00:00,44,0.02007,2.57169,,,,Running
2022-01-15T14:51:18+00:00,45,0.02589,2.73300,,,,Running
2022-01-15T14:51:50+00:00,46,0.02007,2.57169,,,,Running
2022-01-15T14:52:21+00:00,47,0.01838,2.57169,,,,Running
2022-01-15T14:52:52+00:00,48,0.01838,2.57169,,,,Running
2022-01-15T14:53:23+00:00,49,0.02589,2.73300,,,,Running
2022-01-15T14:53:55+00:00,50,0.02589,2.73300,,,,Running
2022-01-15T14:54:28+00:00,51,0.01838,2.57169,,,,Running
2022-01-15T14:54:59+00:00,52,0.01838,2.57169,,,,Running
2022-01-15T14:55:30+00:00,53,0.01838,2.73300,,,,Running
2022-01-15T14:56:07+00:00,54,0.02381,2.73300,,,,Running
2022-01-15T14:56:38+00:00,55,0.02589,2.69306,,,,Running
2022-01-15T14:57:09+00:00,56,0.01838,2.57169,,,,Running
2022-01-15T14:57:39+00:00,57,0.01838,2.73300,,,,Running
2022-01-15T14:58:12+00:00,58,0.01838,2.57169,,,,Running
2022-01-15T14:58:43+00:00,59,0.02589,2.57169,,,,Running
2022-01-15T14:59:14+00:00,60,0.01838,2.53068,,,,Running
2022-01-15T14:59:45+00:00,61,0.01838,2.53068,,,,Running
2022-01-15T15:00:51+00:00,62,0.01838,2.53068,,,,Running
2022-01-15T15:01:22+00:00,63,0.02589,2.53068,,,,Running
2022-01-15T15:01:54+00:00,64,0.01838,2.53068,,,,Running
2022-01-15T15:02:24+00:00,65,0.01838,2.53068,,,,Running
2022-01-15T15:02:55+00:00,66,0.01838,2.53068,,,,Running
2022-01-15T15:03:27+00:00,67,0.02381,2.53068,,,,Running
2022-01-15T15:03:59+00:00,68,0.02589,2.53068,,,,Running
2022-01-15T15:04:30+00:00,69,0.02381,2.69306,,,,Running
2022-01-15T15:05:05+00:00,70,0.01838,2.53068,,,,Running
2022-01-15T15:05:35+00:00,71,0.01838,2.53068,,,,Running
2022-01-15T15:06:06+00:00,72,0.01838,2.53068,,,,Running
2022-01-15T15:07:09+00:00,73,0.01682,2.53068,,,,Running
2022-01-15T15:07:40+00:00,74,0.01838,2.53068,,,,Running
2022-01-15T15:08:40+00:00,75,0.01838,2.53068,,,,Running
2022-01-15T15:09:12+00:00,76,0.02381,2.53068,,,,Running
2022-01-15T15:09:43+00:00,77,0.01682,2.53068,,,,Running
2022-01-15T15:10:15+00:00,78,0.01682,2.53068,,,,Running
2022-01-15T15:10:46+00:00,79,0.01682,2.53068,,,,Running
2022-01-15T15:11:17+00:00,80,0.02381,2.69306,,,,Running
2022-01-15T15:12:14+00:00,81,0.01682,2.69306,,,,Running
2022-01-15T15:12:45+00:00,82,0.01682,2.53068,,,,Running
2022-01-15T15:13:15+00:00,83,0.01682,2.53068,,,,Running
2022-01-15T15:13:46+00:00,84,0.02187,2.65287,,,,Running
2022-01-15T15:14:53+00:00,85,0.02381,2.65287,,,,Running
2022-01-15T15:15:23+00:00,86,0.02187,2.65287,,,,Running
2022-01-15T15:15:53+00:00,87,0.02187,2.65287,,,,Running
2022-01-15T15:16:23+00:00,88,0.02187,2.65287,,,,Running
2022-01-15T15:16:53+00:00,89,0.02187,2.65287,,,,Running
2022-01-15T15:17:23+00:00,90,0.02187,2.65287,,,,Running
2022-01-15T15:17:55+00:00,91,0.02187,2.65287,,,,Running
2022-01-15T15:18:26+00:00,92,0.02187,2.65287,,,,Running
2022-01-15T15:18:56+00:00,93,0.02187,2.65287,,,,Running
2022-01-15T15:19:26+00:00,94,0.01682,2.65287,,,,Running
2022-01-15T15:19:57+00:00,95,0.02187,2.65287,,,,Running
2022-01-15T15:20:27+00:00,96,0.02187,2.65287,,,,Running
2022-01-15T15:20:58+00:00,97,0.02187,2.48938,,,,Running
2022-01-15T15:21:28+00:00,98,0.01682,2.65287,,,,Running
2022-01-15T15:21:59+00:00,99,0.01682,2.48938,,,,Running
2022-01-15T15:22:30+00:00,100,0.02187,2.65287,,,,Running
